variant,count
"('committed', 'committed', 'committed', 'created', 'committed', 'reviewed', 'commented', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'created', 'labeled', 'labeled', 'commented', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'created', 'labeled', 'reviewed', 'committed', 'commented', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'created', 'merged', 'closed', 'head_ref_deleted', 'cross_referenced')",1
"('committed', 'committed', 'committed', 'created', 'review_requested', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'created', 'review_requested', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted', 'commented', 'commented')",1
"('committed', 'committed', 'committed', 'created', 'review_requested', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted', 'cross_referenced')",1
"('committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'labeled', 'auto_rebase_enabled', 'commented', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'labeled', 'labeled', 'commented', 'committed', 'reviewed', 'reviewed', 'reviewed', 'committed', 'committed', 'committed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'committed', 'created', 'review_requested', 'review_requested', 'review_requested', 'labeled', 'labeled', 'reviewed', 'commented', 'milestoned', 'base_ref_changed', 'commented', 'mentioned', 'subscribed', 'demilestoned', 'assigned', 'closed')",1
"('committed', 'committed', 'created', 'assigned', 'assigned', 'mentioned', 'subscribed', 'cross_referenced', 'copilot_work_started', 'committed', 'committed', 'committed', 'renamed', 'review_requested', 'copilot_work_finished', 'base_ref_force_pushed', 'closed')",1
"('committed', 'committed', 'created', 'commented', 'commented', 'commented', 'commented', 'committed', 'review_requested', 'head_ref_force_pushed', 'review_request_removed', 'convert_to_draft', 'ready_for_review', 'commented', 'committed', 'head_ref_force_pushed', 'committed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'created', 'commented', 'commented', 'commented', 'ready_for_review', 'reviewed', 'review_requested', 'labeled', 'commented', 'commented', 'mentioned', 'subscribed', 'commented', 'mentioned', 'subscribed', 'merged', 'closed', 'cross_referenced')",1
"('committed', 'committed', 'created', 'commented', 'commented', 'mentioned', 'subscribed', 'mentioned', 'subscribed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'created', 'commented', 'commented', 'merged', 'closed', 'cross_referenced')",1
"('committed', 'committed', 'created', 'commented', 'commented', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'created', 'commented', 'committed', 'ready_for_review', 'commented', 'mentioned', 'subscribed', 'merged', 'closed')",1
"('committed', 'committed', 'created', 'commented', 'merged', 'closed')",1
"('committed', 'committed', 'created', 'commented', 'review_requested', 'reviewed', 'merged', 'closed', 'head_ref_deleted')",1
"('committed', 'committed', 'created', 'commented', 'reviewed', 'committed', 'reviewed', 'merged', 'closed', 'commented')",1
